# Time (s), V_L (m^3), BOG (kg/s), Tv_avg (K), Q_V (W), BL (kg/s)
6.060000000000000000e+03, 1.884051913697663621e-03, 1.516903832853320117e-07, 2.399817142701934642e+02, 1.486363828792208741e-01, 1.505959580723192368e-07
6.120000000000000000e+03, 1.884126645294460301e-03, 1.516862376331833450e-07, 2.399817155116618324e+02, 1.486340969382167476e-01, 1.505939328635017525e-07
6.180000000000000000e+03, 1.884201376880023345e-03, 1.516826588210997623e-07, 2.399817113241303446e+02, 1.486318248698536293e-01, 1.505913950548376063e-07
6.240000000000000000e+03, 1.884276108450770549e-03, 1.516805824611979114e-07, 2.399817063795301237e+02, 1.486295547360494962e-01, 1.505889963487022734e-07
6.300000000000000000e+03, 1.884350840011490185e-03, 1.516806878628069205e-07, 2.399817041045940016e+02, 1.486272777808375356e-01, 1.505872112639403317e-07
6.360000000000000000e+03, 1.884425571551613665e-03, 1.516827647251386460e-07, 2.399817103884945766e+02, 1.486249789575129487e-01, 1.505868682126528836e-07
6.420000000000000000e+03, 1.884500303073591721e-03, 1.516850079764749840e-07, 2.399817224882174287e+02, 1.486226652755382738e-01, 1.505875599803886629e-07
6.480000000000000000e+03, 1.884575034578173103e-03, 1.516931505056744297e-07, 2.399817379884740944e+02, 1.486203429066554615e-01, 1.505889272263094680e-07
6.540000000000000000e+03, 1.884649766105334079e-03, 1.517016616106023135e-07, 2.399817903363144751e+02, 1.486179263938946227e-01, 1.505957494700325023e-07
6.600000000000000000e+03, 1.884724497565194940e-03, 1.516938211469029299e-07, 2.399818158722358703e+02, 1.486155783898466254e-01, 1.505988946803029787e-07
6.660000000000000000e+03, 1.884799229016164909e-03, 1.516873784430197464e-07, 2.399818029588877266e+02, 1.486133286217179161e-01, 1.505966844656267963e-07
6.720000000000000000e+03, 1.884873960453884410e-03, 1.516876890246744254e-07, 2.399818033485366868e+02, 1.486110448658119476e-01, 1.505965233189249498e-07
6.780000000000000000e+03, 1.884948691936759848e-03, 1.516856563991222113e-07, 2.399817932344397775e+02, 1.486087879436451820e-01, 1.505949908425466336e-07
6.840000000000000000e+03, 1.885023423360505934e-03, 1.516858461484481585e-07, 2.399817906511141530e+02, 1.486065117830872306e-01, 1.505946621276387307e-07
6.900000000000000000e+03, 1.885098154779051537e-03, 1.516836820195803128e-07, 2.399817836183156601e+02, 1.486042469896993734e-01, 1.505938123870738982e-07
6.960000000000000000e+03, 1.885172886190300892e-03, 1.516814311601083335e-07, 2.399817732245215893e+02, 1.486019907822959396e-01, 1.505925898373566764e-07
7.020000000000000000e+03, 1.885247617599332187e-03, 1.516793169913259356e-07, 2.399817600806057669e+02, 1.485997415997546978e-01, 1.505910747807871940e-07
7.080000000000000000e+03, 1.885322349002872865e-03, 1.516776377620659045e-07, 2.399817461255223066e+02, 1.485974944885705418e-01, 1.505895383039474156e-07
7.140000000000000000e+03, 1.885397080406978195e-03, 1.516767402082274581e-07, 2.399817321316483572e+02, 1.485952474753671204e-01, 1.505880847944287984e-07
7.200000000000000000e+03, 1.885471811804458400e-03, 1.516777304433930182e-07, 2.399817214781817540e+02, 1.485929919280750966e-01, 1.505871926078949052e-07
7.260000000000000000e+03, 1.885546543188661899e-03, 1.516802877423070653e-07, 2.399817186683006867e+02, 1.485907163439345591e-01, 1.505875015831134831e-07
7.320000000000000000e+03, 1.885621274554324890e-03, 1.516828031916147833e-07, 2.399817213741137891e+02, 1.485884266705305989e-01, 1.505886730719589736e-07
7.380000000000000000e+03, 1.885696005908291508e-03, 1.516848478986648718e-07, 2.399817265504449608e+02, 1.485861306869585008e-01, 1.505902659553899371e-07
7.440000000000000000e+03, 1.885770737249643000e-03, 1.516850383639683140e-07, 2.399817319415198540e+02, 1.485838341556409981e-01, 1.505919525275355481e-07
7.500000000000000000e+03, 1.885845468628041463e-03, 1.516847728052989373e-07, 2.399817282262999925e+02, 1.485815608841907220e-01, 1.505923928574808558e-07
7.560000000000000000e+03, 1.885920199957872006e-03, 1.516915367257939356e-07, 2.399817294225244666e+02, 1.485792750686249497e-01, 1.505935918613805773e-07
7.620000000000000000e+03, 1.885994931326113663e-03, 1.516968323696689856e-07, 2.399817587756360808e+02, 1.485769173319181347e-01, 1.505988772765518778e-07
7.680000000000000000e+03, 1.886069662640817201e-03, 1.516927792107059038e-07, 2.399817600340809065e+02, 1.485746313591825296e-01, 1.506001842925569389e-07
7.740000000000000000e+03, 1.886144393951777205e-03, 1.516923083710117980e-07, 2.399817575367106599e+02, 1.485723549797003384e-01, 1.506009976940617901e-07
7.800000000000000000e+03, 1.886219125256634235e-03, 1.516913128249599553e-07, 2.399817511631781031e+02, 1.485700885004855865e-01, 1.506012972504758532e-07
7.860000000000000000e+03, 1.886293856558889830e-03, 1.516899617036519956e-07, 2.399817409689110264e+02, 1.485678317794065229e-01, 1.506010881182639193e-07
